,0,1,2,target
571,204,28,200,66.57754010695187
572,198,1,192,64.38502673796792
573,192,18,186,64.6524064171123
574,189,3,182,63.475935828877006
575,186,15,179,63.79679144385027
576,183,16,175,63.475935828877006
578,180,25,176,63.850267379679146
579,177,9,175,62.780748663101605
580,179,6,178,62.88770053475936
581,188,22,189,64.81283422459893
582,195,12,198,65.1336898395722
583,195,11,199,65.1336898395722
584,199,19,203,65.98930481283422
585,198,24,201,66.09625668449198
586,201,7,205,65.56149732620321
587,210,0,213,66.09625668449198
590,215,5,215,66.7379679144385
593,201,17,205,66.09625668449198
594,198,21,201,65.93582887700535
595,200,19,203,66.0427807486631
596,209,22,212,67.16577540106952
598,215,2,214,66.524064171123
599,211,26,210,67.37967914438502
600,212,29,213,67.75401069518716
601,210,6,211,66.31016042780749
602,209,19,210,66.89839572192514
603,207,27,210,67.2192513368984
604,209,0,214,66.09625668449198
605,209,3,215,66.31016042780749
606,209,21,215,67.27272727272728
607,212,13,216,67.05882352941177
608,226,5,224,67.80748663101605
609,227,9,222,67.96791443850267
610,222,27,221,68.6096256684492
611,219,20,221,68.07486631016043
612,217,6,222,67.27272727272728
616,218,9,221,67.43315508021391
617,223,14,224,68.1283422459893
618,227,28,226,69.19786096256685
619,227,24,226,68.98395721925134
620,223,13,224,68.07486631016043
621,218,1,220,66.95187165775401
622,212,13,217,67.11229946524064
623,210,29,218,67.9144385026738
624,214,26,224,68.28877005347593
625,215,15,226,67.86096256684492
626,220,5,228,67.70053475935829
627,224,11,230,68.34224598930481
628,228,26,231,69.41176470588235
629,231,27,231,69.62566844919786
630,231,27,230,69.57219251336899
631,230,7,229,68.39572192513369
632,232,6,232,68.6096256684492
633,224,15,227,68.39572192513369
634,221,14,228,68.23529411764706
635,216,15,227,67.96791443850267
636,206,17,221,67.2192513368984
640,204,20,205,66.41711229946524
641,205,18,206,66.41711229946524
642,204,23,204,66.524064171123
643,203,20,204,66.31016042780749
644,205,15,206,66.2566844919786
645,210,28,211,67.48663101604278
646,215,22,217,67.75401069518716
647,217,18,217,67.6470588235294
651,209,8,207,66.14973262032086
652,200,15,196,65.45454545454545
653,194,0,190,64.01069518716578
654,193,5,188,64.11764705882354
655,193,20,186,64.81283422459893
659,181,17,180,63.68983957219251
660,182,23,183,64.22459893048128
661,188,5,189,63.903743315508024
662,192,18,195,65.1336898395722
663,193,11,197,64.91978609625669
664,200,25,204,66.41711229946524
665,201,7,204,65.50802139037432
666,205,10,209,66.14973262032086
667,211,21,214,67.32620320855615
669,215,27,216,67.96791443850267
670,217,4,217,66.89839572192514
673,201,29,205,66.7379679144385
674,200,17,202,65.88235294117646
675,202,15,203,65.93582887700535
678,214,18,213,67.27272727272728
679,210,9,209,66.36363636363636
680,211,7,211,66.41711229946524
681,214,2,214,66.47058823529412
682,217,0,219,66.79144385026738
684,216,7,220,67.16577540106952
685,213,28,219,68.07486631016043
686,212,0,218,66.47058823529412
687,215,17,218,67.54010695187166
688,227,18,226,68.66310160427807
689,227,16,223,68.39572192513369
690,220,27,221,68.50267379679144
691,218,21,221,68.07486631016043
698,221,1,223,67.27272727272728
699,222,2,224,67.43315508021391
701,217,17,222,67.86096256684492
702,213,28,219,68.07486631016043
703,208,21,218,67.37967914438502
704,210,2,222,66.68449197860963
705,213,2,224,66.95187165775401
706,217,10,225,67.6470588235294
707,220,15,227,68.18181818181819
708,226,2,229,67.9144385026738
709,230,25,230,69.41176470588235
710,231,14,230,68.87700534759358
711,232,0,231,68.23529411764706
713,228,12,229,68.55614973262033
714,225,0,229,67.75401069518716
715,218,21,226,68.34224598930481
716,207,4,220,66.524064171123
717,208,20,225,67.70053475935829
720,208,7,209,66.14973262032086
721,211,15,212,66.89839572192514
722,212,27,214,67.70053475935829
723,212,21,212,67.27272727272728
724,214,7,215,66.79144385026738
725,221,14,221,67.86096256684492
730,219,25,219,68.23529411764706
731,212,3,213,66.36363636363636
732,208,17,205,66.47058823529412
733,202,16,200,65.8288770053476
734,202,28,199,66.41711229946524
735,197,11,194,64.97326203208556
739,186,21,184,64.38502673796792
740,188,19,187,64.54545454545455
741,191,24,192,65.24064171122994
742,195,15,198,65.29411764705883
743,198,14,202,65.61497326203208
744,201,19,205,66.20320855614973
745,204,25,209,66.89839572192514
746,209,12,213,66.68449197860963
747,211,8,215,66.68449197860963
748,214,27,215,67.86096256684492
749,215,0,216,66.524064171123
754,202,7,204,65.56149732620321
755,205,22,206,66.63101604278074
758,214,7,213,66.68449197860963
759,211,19,210,67.00534759358288
760,212,14,212,66.89839572192514
761,217,4,219,67.00534759358288
765,216,4,220,67.00534759358288
766,216,21,222,68.02139037433155
768,226,29,225,69.14438502673796
769,224,21,223,68.50267379679144
770,221,3,222,67.32620320855615
775,212,11,221,67.2192513368984
777,214,25,220,68.02139037433155
778,212,27,218,67.9144385026738
779,214,1,220,66.7379679144385
782,212,22,220,67.75401069518716
783,208,18,219,67.27272727272728
784,209,7,221,66.84491978609626
785,210,7,223,67.00534759358288
786,215,24,225,68.28877005347593
787,220,19,227,68.39572192513369
788,225,8,229,68.18181818181819
789,230,17,231,69.03743315508021
790,233,16,232,69.19786096256685
791,236,10,233,69.0909090909091
793,230,0,230,68.07486631016043
794,227,11,230,68.50267379679144
795,220,6,227,67.70053475935829
796,209,7,220,66.79144385026738
797,211,21,225,67.9144385026738
800,215,20,214,67.48663101604278
801,220,22,221,68.23529411764706
802,221,18,222,68.1283422459893
803,220,19,219,67.96791443850267
804,222,10,223,67.80748663101605
805,229,10,229,68.50267379679144
807,229,25,231,69.41176470588235
808,227,26,228,69.19786096256685
809,220,7,223,67.54010695187166
810,216,1,217,66.68449197860963
811,214,15,215,67.2192513368984
812,217,14,217,67.43315508021391
813,215,19,216,67.54010695187166
814,211,8,212,66.524064171123
815,201,17,201,65.88235294117646
816,190,14,186,64.33155080213903
817,185,20,182,64.1711229946524
818,185,22,182,64.27807486631016
819,188,5,185,63.68983957219251
820,190,12,191,64.49197860962568
821,193,23,196,65.50802139037432
824,204,17,208,66.41711229946524
827,211,20,215,67.32620320855615
828,214,27,215,67.86096256684492
829,215,5,216,66.79144385026738
834,203,2,204,65.3475935828877
838,215,25,214,67.75401069518716
839,213,14,212,66.95187165775401
840,216,18,216,67.54010695187166
844,219,14,222,67.80748663101605
845,216,16,221,67.70053475935829
848,222,19,225,68.39572192513369
849,222,11,225,67.96791443850267
850,222,7,226,67.80748663101605
854,208,2,219,66.41711229946524
855,200,25,212,66.84491978609626
856,206,17,218,67.05882352941177
857,204,27,216,67.37967914438502
858,203,0,215,65.8288770053476
859,206,29,218,67.70053475935829
863,208,17,220,67.27272727272728
864,207,3,220,66.47058823529412
865,209,2,223,66.68449197860963
866,214,8,225,67.37967914438502
867,220,5,228,67.70053475935829
868,225,4,231,68.07486631016043
869,229,16,232,68.98395721925134
870,233,27,233,69.83957219251337
871,234,15,233,69.25133689839572
872,238,17,235,69.67914438502675
873,231,20,230,69.19786096256685
874,229,4,230,68.23529411764706
875,223,22,227,68.71657754010695
876,213,8,221,67.11229946524064
877,215,18,226,68.02139037433155
880,217,28,216,68.1283422459893
881,226,28,226,69.14438502673796
882,227,15,227,68.55614973262033
883,223,27,223,68.77005347593582
884,226,29,226,69.19786096256685
887,227,13,229,68.55614973262033
888,228,7,230,68.34224598930481
889,221,13,222,67.86096256684492
890,214,20,217,67.59358288770053
891,216,27,218,68.1283422459893
894,215,14,218,67.37967914438502
895,204,9,205,65.8288770053476
896,187,23,184,64.54545454545455
897,181,28,176,64.06417112299465
898,182,23,178,63.9572192513369
899,187,25,185,64.70588235294117
900,190,28,191,65.3475935828877
901,193,9,194,64.6524064171123
902,198,11,202,65.45454545454545
907,211,16,215,67.11229946524064
908,214,25,215,67.75401069518716
910,216,2,216,66.68449197860963
911,210,15,211,66.79144385026738
912,202,0,204,65.18716577540107
913,199,11,203,65.56149732620321
914,202,0,203,65.1336898395722
919,216,19,216,67.59358288770053
920,220,18,220,67.96791443850267
921,220,15,221,67.86096256684492
922,219,27,222,68.50267379679144
923,217,11,220,67.43315508021391
924,218,10,222,67.54010695187166
925,218,1,223,67.11229946524064
926,221,15,226,68.18181818181819
928,220,28,224,68.71657754010695
929,219,29,223,68.66310160427807
